SimNumber,InstantReward,InstantSpeed,LaneLeft,Idle,LaneRight,Faster,Slower,Action
3,0.97654406068321,29.999978720807306,6.898878574371338,8.403759956359863,8.542417526245117,8.59359359741211,8.191343307495117,3
3,0.9927348303514677,29.999988191559787,6.060521602630615,7.80088996887207,7.9917497634887695,7.990680694580078,7.5898942947387695,2
3,0.9960655456288635,29.999993447154583,8.081779479980469,8.616201400756836,8.274625778198242,8.712911605834961,8.39356803894043,3
3,0.9989352013625998,29.999996363636328,8.085959434509277,8.7225341796875,8.28393840789795,8.834066390991211,8.477645874023438,3
3,0.9997830848783851,29.999997982076497,7.8712897300720215,9.385509490966797,9.16729736328125,9.383138656616211,9.148698806762695,1
3,0.9999625587583562,29.999998880195815,7.576021671295166,9.240311622619629,9.07664966583252,9.265207290649414,8.99673843383789,3
3,0.9999942403812144,29.99999937858823,7.115706920623779,8.94860553741455,8.93127727508545,9.00818157196045,8.728118896484375,3
3,0.9999991873007482,29.999999655160615,6.509321689605713,8.571206092834473,8.624115943908691,8.675530433654785,8.359880447387695,3
3,0.9999998912463197,29.999999808638638,6.439736843109131,8.416108131408691,8.371161460876465,8.518945693969727,8.17572021484375,3
3,0.999999984790923,29.999999893808038,7.088749408721924,8.693066596984863,8.410006523132324,8.680420875549316,8.454381942749023,1
3,0.9999999970634118,29.999999941071003,5.588653564453125,8.693913459777832,8.538241386413574,8.758183479309082,8.352514266967773,3
3,0.9999999989901661,29.999999967298592,5.725612163543701,8.594728469848633,8.271207809448242,8.645633697509766,8.276012420654297,3
3,0.9999999995036005,29.99999998185304,6.622312068939209,8.872950553894043,8.428109169006348,8.911012649536133,8.649894714355469,3
3,0.9999999997304849,29.999999989929726,7.482945919036865,8.992902755737305,8.418593406677246,9.007329940795898,8.87124252319336,3
3,0.9999999998509193,29.999999994411716,8.321526527404785,9.033230781555176,8.587431907653809,8.989124298095703,8.995162963867188,1
3,0.9999999999173018,29.9999999968989,8.246687889099121,8.346647262573242,8.473396301269531,8.33606243133545,8.147367477416992,2
3,0.9999999999541096,29.99999999827911,8.206430435180664,8.217310905456543,8.347733497619629,8.219907760620117,8.074151992797852,2
3,0.9999999999745341,29.99999999904503,8.173051834106445,8.0942964553833,8.228636741638184,8.110240936279297,8.005006790161133,2
3,0.9675760825637608,29.99999999947006,8.148792266845703,7.922412872314453,8.043639183044434,7.939039707183838,7.900207042694092,0
3,0.9990038322660153,29.999999999705917,7.661374092102051,7.7813239097595215,7.802765846252441,7.770083427429199,7.694413661956787,2
3,0.9733327180822141,29.999999999836806,7.943365573883057,7.10592794418335,7.071443557739258,7.055222511291504,7.321422100067139,0
3,0.9326426587184674,29.99999999990944,7.4466118812561035,7.072731971740723,6.784293174743652,7.053197383880615,7.262919902801514,0
3,0.8871464514964927,27.774644786482966,7.321560382843018,7.7912187576293945,7.662156105041504,7.66633415222168,7.844045162200928,4
3,0.8608237055871615,26.53973073825931,6.987527847290039,7.434976100921631,7.376851558685303,7.3133673667907715,7.5391058921813965,4
3,0.7851130632936503,23.629085959648442,6.773921966552734,7.250598430633545,7.206517219543457,7.141023635864258,7.390524864196777,4
3,0.7424626393745294,22.01388488756389,6.624761581420898,7.093576431274414,6.946661472320557,7.0336432456970215,7.243234157562256,4
3,0.7186601627920983,21.11756304079144,6.530019283294678,6.991077423095703,6.859366416931152,6.9737677574157715,7.14893102645874,4
3,0.7054197249536741,20.620168092950834,6.47155237197876,6.93448543548584,6.828044414520264,6.942663669586182,7.094204425811768,4
3,0.6980646302678855,20.344149233176054,6.447646617889404,6.909409046173096,6.78125,6.934113025665283,7.072868824005127,4
3,0.69398129687817,20.19097837512427,6.438452243804932,6.898281097412109,6.748929977416992,6.934971809387207,7.065633296966553,4
3,0.6917149304453573,20.10597943057583,6.47440767288208,6.934337139129639,6.757899761199951,6.982334136962891,7.095308780670166,4
